drugname,reac,freq
ABEMACICLIB,Myelosuppression,17
ABEMACICLIB,Diarrhoea,15
ABEMACICLIB,Headache,15
ABEMACICLIB,Aspartate aminotransferase increased,14
ABEMACICLIB,Alanine aminotransferase increased,13
ABEMACICLIB,Fatigue,12
ABEMACICLIB,Constipation,10
ABEMACICLIB,Muscle spasms,9
ABEMACICLIB,Tachycardia,9
ABEMACICLIB,Neutropenia,9
ABEMACICLIB,Nausea,8
ABEMACICLIB,Rash,8
ABEMACICLIB,Gait disturbance,8
ABEMACICLIB,Arthralgia,8
ABEMACICLIB,Metastases to liver,8
ABEMACICLIB,Vomiting,7
ABEMACICLIB,Pathological fracture,7
ABEMACICLIB,Dyspepsia,7
ABEMACICLIB,Myalgia,7
ABEMACICLIB,Thrombocytopenia,7
ABEMACICLIB,Arthropod bite,7
ABEMACICLIB,Gamma-glutamyltransferase increased,7
ABEMACICLIB,Hepatic echinococciasis,7
ABEMACICLIB,Transaminases increased,7
ABEMACICLIB,Aphthous ulcer,7
ABEMACICLIB,Hepatic cyst,7
ABEMACICLIB,Anaemia,7
ABEMACICLIB,Vitamin B complex deficiency,6
ABEMACICLIB,Musculoskeletal stiffness,6
ABEMACICLIB,Influenza like illness,6
ABEMACICLIB,Stomatitis,6
ABEMACICLIB,Dysuria,6
ABEMACICLIB,Dry skin,6
ABEMACICLIB,Coronavirus infection,6
ABEMACICLIB,Libido decreased,6
ABEMACICLIB,Mucosal inflammation,6
ABEMACICLIB,Rash pustular,6
ABEMACICLIB,Amenorrhoea,6
ABEMACICLIB,Back pain,6
ABEMACICLIB,Spinal pain,6
ABEMACICLIB,Disturbance in attention,6
ABEMACICLIB,Fall,6
ABEMACICLIB,Selenium deficiency,6
ABEMACICLIB,Malignant neoplasm progression,5
ABEMACICLIB,Pulmonary hypertension,5
ABEMACICLIB,Pneumonitis,5
ABEMACICLIB,Hepatic cytolysis,5
ABEMACICLIB,Interstitial lung disease,4
ABEMACICLIB,Haemoglobin decreased,4
ABEMACICLIB,Acute kidney injury,3
ABILIFY,Acute kidney injury,11
ABILIFY,Product use in unapproved indication,11
ABILIFY,Anhedonia,10
ABILIFY,Anxiety,9
ABILIFY,Depression,9
ABILIFY,Fatigue,9
ABILIFY,Tremor,9
ABILIFY,Hypotension,8
ABILIFY,Overdose,8
ABILIFY,Nausea,8
ABILIFY,International normalised ratio abnormal,7
ABILIFY,Polyuria,7
ABILIFY,Medication error,7
ABILIFY,Pain,7
ABILIFY,Restlessness,7
ABILIFY,Suicidal ideation,7
ABILIFY,Asthenia,7
ABILIFY,Dizziness,7
ABILIFY,Cognitive disorder,6
ABILIFY,Weight increased,6
ABILIFY,Diarrhoea,6
ABILIFY,Abdominal pain,6
ABILIFY,Off label use,6
ABILIFY,Gastrointestinal disorder,6
ABILIFY,Akathisia,6
ABILIFY,Disturbance in attention,6
ABILIFY,Somnolence,6
ABILIFY,Restless legs syndrome,6
ABILIFY,Dialysis,5
ABILIFY,Urinary tract infection,5
ABILIFY,Pyrexia,5
ABILIFY,Arthralgia,5
ABILIFY,Decreased appetite,5
ABILIFY,Oculogyric crisis,5
ABILIFY,Parkinsonism,5
ABILIFY,Bradyphrenia,5
ABILIFY,Neuroleptic-induced deficit syndrome,5
ABILIFY,"Hallucination, tactile",5
ABILIFY,Brain fog,5
ABILIFY,Confusional state,5
ABILIFY,Emotional disorder,5
